file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
H22N.mp3,-5183.229556981708,3963.3438,1.7989889,1838.8347553391527,1592.1599478484763,0.10190745491293532,0.19889525
H340N.mp3,-5999.334159691512,3949.6143,2.6802118,1473.1034547129202,1800.0268557269487,0.056573993869936036,0.16639811
H267N.mp3,-4963.294607038722,3820.675,-8.396623,1044.1706137389765,1416.85303847514,0.04633327503109453,0.17101742
H414N.mp3,-4403.909222124201,4001.6401,2.0791638,2580.264498125866,1996.8560469666913,0.1657008623178749,0.24617708
H76N.mp3,-4216.9913213301115,3969.2798,1.1540741,1409.2777890620232,1707.2592051547242,0.07532441031449894,0.14676774
H82N.mp3,-7016.951567275496,3970.3755,0.90626943,1496.2465092406721,1690.4682573138643,0.07008553771321961,0.122241706
H206N.mp3,-5311.992332803088,3991.961,5.7474723,1632.7940565874546,1657.4235352746198,0.08741796042110875,0.2962136
H109N.mp3,-5204.727118689918,3999.3086,-6.4898105,1269.420337197378,1523.4145368252848,0.05838969216417911,0.14396217
H401N.mp3,-4780.360793110431,3801.1853,-8.4159565,1114.3031314181835,1530.365758233785,0.03392253298240938,0.2516395
H96N.mp3,-5256.286304411654,3945.2651,-11.269024,1470.937223966896,1889.33098724664,0.056468841617803835,0.103378154
H61N.mp3,-4924.158469281626,3610.5986,-15.876934,1138.492821867776,961.8049531998676,0.07440441486762615,0.13060693
H21N.mp3,-4454.946945717305,3211.0945,3.8823185,914.635764576309,1400.9289098922975,0.031050800684079602,0.30578727
H409N.mp3,-5258.020052439022,3998.5293,1.2258247,2097.259747878473,1984.0282270499017,0.11370220604566453,0.1967124
H149N.mp3,-4234.274190128399,3940.0571,3.2730834,1446.8717150749294,1684.5993102379011,0.058272046575159914,0.16061059
H1N.mp3,-4737.289097089169,3999.544,260.2904,2178.858943466045,2076.286119833645,0.10242419320806681,0.26970172
H223N.mp3,-5441.728404480482,3995.6987,4.1165757,2209.5900452364417,1908.9158505143926,0.12543622567963753,0.17117399
H296N.mp3,-6100.741525171951,1223.4668,11.84147,443.8259903117386,624.3255465566958,0.01675842328535892,0.24685654
H390N.mp3,-4504.563339164624,3998.2173,9.148653,2311.42543248325,1835.2986205069299,0.15126446450781805,0.13656905
H251N.mp3,-5098.717445724302,3973.5242,5.930633,1231.601735627447,1155.4091499821004,0.07201749344793888,0.08168714
H36N.mp3,-4393.968293706058,4000.4133,-1.3146508,2111.468890746412,2161.4143040598196,0.11571606254442075,0.11483756
H11N.mp3,-5618.050325098156,3936.1487,-7.7664285,1260.1986845306467,1479.8602649840846,0.05233042377398721,0.081046596
H155N.mp3,-4599.673468266984,3088.776,94.44634,1012.4057341865132,1480.6793985123702,0.03548662935323383,0.085943036
H25N.mp3,-5489.695169110355,3336.8516,3.2932103,844.7530899845498,1200.791475006146,0.03090157471570718,0.24410988
H143N.mp3,-4483.865555150756,3959.3462,11.690399,1967.1268043151224,2101.6282400999567,0.06923390858208955,0.26091042
H230N.mp3,-4685.180917944945,3990.6094,-26.630901,1156.2343951730284,1457.6704737219882,0.045485463308457715,0.11496938
H165N.mp3,-5800.333488900453,3829.8308,2.7613156,1574.0831531261438,1898.347862883951,0.06421852789623313,0.13215025
H17N.mp3,-4828.958725023354,4001.9233,-26.292929,2850.170156626132,1556.167739492923,0.2081282343861052,0.24098146
H350N.mp3,-6916.5547932319705,3964.0942,0.23908015,1428.4505061526827,1666.368896382906,0.05970912735429993,0.089385055
H408N.mp3,-5116.322862021782,3912.9016,-42.61545,1432.5271504646098,1543.6918333486453,0.05758734230632551,0.26604217
H145N.mp3,-5207.439801340144,3999.283,1.4139434,1513.9938940257468,1723.492770580085,0.0694174912269012,0.1616925
H185N.mp3,-4798.953829011538,3996.3474,4.8430133,1882.0834218541686,2027.3571659938025,0.06848604355454868,0.26933432
H360N.mp3,-4069.86390758589,3996.8242,0.9369743,2105.579851803756,2090.8743461406298,0.11099219305259417,0.1578306
H365N.mp3,-4365.5126143965535,3974.5098,0.97639734,1955.2431837813929,2100.449591597952,0.0865350979477612,0.13583773
H286N.mp3,-5929.001725818787,3985.6116,-1.8921789,1425.5546947483326,1711.0735002942204,0.054224552460909736,0.24550712
H293N.mp3,-6672.051865575561,4000.1575,-4.5429254,2627.873583649162,2274.7513385152392,0.1367975274298152,0.12455017
H10N.mp3,-6754.729654781489,3983.388,8.324206,915.2412544394557,1235.5381042528004,0.041005560923063254,0.16476138
H64N.mp3,-5291.456698366608,4000.2014,0.013315877,1418.1218678243956,1557.2663744349204,0.07088094682835822,0.10443113
H306N.mp3,-7640.094885307006,2217.246,0.44022545,648.2246849303654,831.8183302159606,0.03433689532249467,0.11226536
H173N.mp3,-4723.735572130303,3988.0479,-46.777443,1841.9101281718854,1292.6931553205284,0.12195856654228855,0.16413702
H186N.mp3,-4812.855487925126,3539.3762,1.6726941,1369.9025820690615,1273.2115289771366,0.08697722325870647,0.20578799
H257N.mp3,-4717.033573627323,3879.009,2.0650313,1820.173079974441,2028.3252771645264,0.06866060323383084,0.31809804
H272N.mp3,-5314.88469372838,3997.023,4.5492115,1408.8101256536438,1503.69675431457,0.07736394756130063,0.19307302
H137N.mp3,-5799.189353903743,3914.0068,46.213863,1047.9534642006363,1394.1913229908173,0.044165681081201134,0.1570299
H374N.mp3,-5286.33711514796,3924.4883,16.78884,1277.8776068559982,1556.4133640409254,0.0523345882196162,0.18838283
H112N.mp3,-4362.821590604564,3955.4128,-4.0748878,1540.467847884876,1784.5742727135628,0.06895870813343995,0.14651448
H162N.mp3,-5384.164627497861,3958.978,27.807781,1471.151624391148,1840.1042069110724,0.0400355921286425,0.3181849
H70N.mp3,-5571.60276655612,3998.2861,24.5816,1822.0882856562594,1708.1996426375085,0.09784191486762615,0.08607905
H131N.mp3,-6147.891307537054,3842.5347,-2.4054086,1416.8946604561484,1766.3983303027333,0.05158776430348259,0.104277916
H209N.mp3,-4477.395505286343,3998.9124,-0.63857585,2442.178356924827,2086.739883594252,0.1255871868336887,0.15256146
H439N.mp3,-5502.940902885055,3999.9927,-3.7537808,1182.1804212660008,1472.3487963762796,0.04839363450604122,0.097395904
H423N.mp3,-5948.757599520556,3999.9983,14.138167,2251.527527471513,1965.1225422992945,0.1298206928527008,0.24796912
H192N.mp3,-5436.875371148526,3088.8333,-245.40323,1224.9699779669793,1563.9856924102176,0.034380622001599144,0.26498476
H110N.mp3,-6407.516297394921,3845.025,-11.195753,1552.4177449847798,1906.9863468346057,0.043394217528429285,0.17250513
H295N.mp3,-4930.288409312036,4000.7134,13.3554125,1064.9688908850408,1424.2733394079492,0.04547435812011372,0.13149607
H140N.mp3,-5362.158322008759,4000.6597,2.0749066,1856.6071388881794,1789.893219326479,0.09539426194918266,0.19792217
H39N.mp3,-6262.871204399892,3741.6223,22.11074,1871.7603141244372,1559.3510828078508,0.11528296019900497,0.27422085
H259N.mp3,-4241.6912936890385,4001.7273,-8.562906,2328.145738871264,2117.8601031221747,0.12573745391346838,0.2537592
H175N.mp3,-5575.597666615125,3994.5227,0.85952395,1064.451742668793,1318.9647577917408,0.05451155217217484,0.12949774
H125N.mp3,-4921.854714057572,4000.8792,-59.19553,1840.7746154703332,1883.484776886339,0.0841849624644634,0.1524372
H138N.mp3,-4713.0815240206275,3999.2517,-1.4925923,2443.2547907892763,2069.258201071759,0.1490101112739872,0.066217534
H376N.mp3,-6346.731016480893,3938.553,-0.48971638,1034.5459607989633,1415.215825170671,0.03888169365227434,0.12292513
H84N.mp3,-8088.972994936474,2412.7463,112.44808,488.4159708167096,524.484845634832,0.031002909559346127,0.13632879
H93N.mp3,-4672.537907080524,3951.0928,-127.49866,1133.3265300181954,1048.2451373342424,0.0725581773054371,0.15579465
H244N.mp3,-5126.394023623307,1358.3044,-190.22034,492.52770505412917,912.2638256687455,0.019599963352878464,0.27400458
H277N.mp3,-5889.515640852527,4000.8535,-9.020353,2040.4453833852467,1774.6311053637694,0.12989981731965175,0.1049036
H60N.mp3,-6050.1531893886895,4000.232,-2.3360467,1714.420797218008,1673.389411184604,0.09500627443141435,0.16068487
H285N.mp3,-5127.722826505208,3961.7344,-26.221546,1584.1817102547147,1767.3025966258958,0.06430528718017058,0.24568485
H47N.mp3,-4577.391012420463,4000.0752,-0.19724649,1822.3519932209474,1886.6653046837366,0.08724478889036959,0.32809108
H14N.mp3,-5297.691460441426,3969.812,-6.8548265,1270.6140316663088,1427.0786507197301,0.04887775131041223,0.11198889
H252N.mp3,-7186.19037416896,4001.3298,-123.58688,1038.6600705378069,1081.7172751045287,0.058157177283226724,0.15639812
H451N.mp3,-5960.054763439844,3642.4307,9.685641,1313.1023405200174,1480.1861090800355,0.055804612539978676,0.16942082
H305N.mp3,-5129.490205969743,4000.4639,-2.4555604,2526.876396302166,2165.675241892507,0.13985770089285715,0.18280023
H284N.mp3,-4531.53677740867,3990.1743,20.988684,1602.901030302409,1686.1702709587228,0.08752172452469793,0.15406534
H157N.mp3,-5220.982923577532,3972.6155,0.30844316,1223.7163725190007,1454.3789737219722,0.049764431192253024,0.13499238
